sex,area,catch.per.day
male,meulaboh,1.88 
male,meulaboh,2.28 
male,sigli,2.40 
female,meulaboh,2.84 
male,sigli,2.96 
female,meulaboh,4.22 
female,bireuen,3.62 
female,meulaboh,2.89 
female,sigli,3.55 
male,sigli,3.11 
female,sigli,4.56 
female,sigli,3.09 
male,meulaboh,4.94 
male,meulaboh,3.49 
female,bireuen,3.08 
male,sigli,2.65 
female,sigli,1.94 
female,meulaboh,4.20 
female,meulaboh,2.47 
female,meulaboh,2.03 
female,sigli,2.20 
female,sigli,2.16 
male,bireuen,2.80 
male,bireuen,3.42 
female,meulaboh,1.81 
female,sigli,4.28 
female,sigli,4.77 
female,bireuen,3.59 
female,meulaboh,3.94 
female,bireuen,2.67 
female,bireuen,3.05 
male,bireuen,4.28 
female,bireuen,2.96 
female,bireuen,3.24 
female,bireuen,3.67 
male,bireuen,3.11 
